AtcoCode,PlateCode,CommonName_lang_en,ShortCommonName_lang_en,Street_lang_en,ShortCommonName_lang_ga,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Indicator_lang_en,NptgLocalityRef,NaptanCode,county,region,electoral_district_id,electoral_district
8230DB004880,4880.0,St Martin De Porres,St Martin De Porres,Firhouse Road West,St Martin De Porres,False,ITM,708948.0,726425.0,-6.366407201,53.27694570000001,BCT,MKD,OTH,NW,823G001638,823,,E0823006,,South Dublin,Dublin,03038,Tallaght-Oldbawn
8230DB004878,4878.0,St Martin De Porres,St Martin De Porres,Firhouse Road West,St Martin De Porres,False,ITM,708949.0,726407.0,-6.3663983810000015,53.2767838,BCT,MKD,OTH,W,823G001638,823,,E0823006,,South Dublin,Dublin,03035,Tallaght-Kiltipper
8230DB004877,4877.0,Firhouse Road West,Firhouse Road West,Firhouse Road West,Teach na Giúise Thi,False,ITM,709404.0,726394.0,-6.359583555,53.27657338,BCT,MKD,OTH,W,823G001639,823,,E0823006,,South Dublin,Dublin,03035,Tallaght-Kiltipper
8230DB004929,4929.0,Verschoyle Avenue,Verschoyle Avenue,,Ascaill Verschoyle,False,ITM,705270.0,726772.0,-6.421417814,53.28080557,BCT,MKD,OTH,N,823G001640,823,,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
823000268,,Citywest Road,,,,False,ITM,705268.0,726761.0,-6.421451435,53.28070715,BCT,MKD,OTH,,823G001640,823,,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
8230DB004930,4930.0,Citywest Avenue,Citywest Avenue,Citywest Road,Iarthar na Cathrach,False,ITM,705182.0,727523.0,-6.422488364,53.28756972,BCT,MKD,OTH,N,823G001641,823,,E0823028,,South Dublin,Dublin,03030,Tallaght-Fettercairn
8230DB004932,4932.0,Magna Drive,Magna Drive,,Céide Magna,False,ITM,705336.0,726557.0,-6.42049975,53.27886099,BCT,MKD,OTH,SE,823G001642,823,,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
823000269,,Citywest Road,,,,False,ITM,705335.0,726556.0,-6.42051507,53.27885221,BCT,MKD,OTH,,823G001642,823,,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
8230DB004887,4887.0,Orlagh Grove,Orlagh Grove,St. Colmcille's Way,Garrán Orlaí,False,ITM,712176.0,726783.0,-6.31790201,53.27948898,BCT,MKD,OTH,E,823G001643,823,,E0823008,,South Dublin,Dublin,03012,Firhouse-Ballycullen
8230DB004888,4888.0,Palmerstown Crescent,Palmerstown Crescent,Upr. Kennelsfort Road,Corrán Bhaile Phámar,False,ITM,707935.0,734248.0,-6.378928809,53.34742977,BCT,MKD,OTH,SW,823G001644,823,opp,E0823014,,South Dublin,Dublin,03019,Palmerston Village
8230DB004927,4927.0,Hazel Grove,Hazel Grove,Killinarden Heights,Garrán an Choill,False,ITM,707090.0,726148.0,-6.394347694,53.27483557,BCT,MKD,OTH,NW,823G001645,823,opp,E0823006,,South Dublin,Dublin,03035,Tallaght-Kiltipper
8230DB002596,2596.0,Glenview Lawn,Glenview Lawn,Tallaght Road,Plsg Rc an Ghleanna,False,ITM,710629.0,727893.0,-6.34070247,53.28978526,BCT,MKD,OTH,E,823G001646,823,,E0823018,,South Dublin,Dublin,03040,Tallaght-Tymon
8230DB002597,2597.0,Basketball Arena,Basketball Arena,Tallaght Road,Láthair na Cispheile,False,ITM,710988.0,727864.0,-6.335330532,53.28944973,BCT,MKD,OTH,NE,823G001647,823,,E0823018,,South Dublin,Dublin,03031,Tallaght-Glenview
8230DB002550,2550.0,Cheeverstown House,Cheeverstown House,Tallaght Road,Baile an tSíbhrigh,False,ITM,712330.0,728490.0,-6.314990504,53.29479059,BCT,MKD,OTH,SW,823G001648,823,,E0823019,,South Dublin,Dublin,03041,Templeogue-Cypress
8230DB002600,2600.0,Cheeverstown House,Cheeverstown House,Tallaght Road,Baile an tSíbhrigh,False,ITM,712438.0,728600.0,-6.313332279,53.29575584,BCT,MKD,OTH,NE,823G001648,823,opp,E0823019,,South Dublin,Dublin,03041,Templeogue-Cypress
8230DB002595,2595.0,Bancroft Road,Bancroft Road,Blessington Road,Bóthar Bancroft,False,ITM,710073.0,727787.0,-6.349074695,53.28894873,BCT,MKD,OTH,E,823G001649,823,,E0823018,,South Dublin,Dublin,03040,Tallaght-Tymon
8230DB002591,2591.0,De Selby Estate,De Selby Estate,Blessington Road,Eastát De Selby,False,ITM,706017.0,726099.0,-6.410445221,53.27461086,BCT,MKD,OTH,E,823G001650,823,opp,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
8230DB002592,2592.0,Kiltalown Cottages,Kiltalown Cottages,Blessington Road,Coillte Leamháin,False,ITM,706296.0,726071.0,-6.406273192,53.2743035,BCT,MKD,OTH,E,823G001651,823,opp,E0823028,,South Dublin,Dublin,03032,Tallaght-Jobstown
8230DB002593,2593.0,Village Green,,Tallaght Road,,False,ITM,709059.0,727812.0,-6.36426773,53.28938281,BCT,MKD,OTH,SE,823G001652,823,,E0823018,,South Dublin,Dublin,03036,Tallaght-Kingswood
8230DB002594,2594.0,Lifegate Church,Lifegate Church,Blessington Road,Eaglais Lifegate,False,ITM,709578.0,727702.0,-6.356524887999999,53.28828766,BCT,MKD,OTH,E,823G001751,823,,E0823018,,South Dublin,Dublin,03040,Tallaght-Tymon
8230DB002606,2606.0,Seskin View Road,Seskin View Road,Seskin View Road,Br Rc an tSeiscinn,False,ITM,709625.0,726857.0,-6.35611172,53.28068704,BCT,MKD,OTH,E,823G001752,823,,E0823018,,South Dublin,Dublin,03037,Tallaght-Millbrook
8230DB002615,2615.0,New Bawn Park,New Bawn Park,Seskin View Road,Pc an Bhábhúin Nua,False,ITM,709690.0,726858.0,-6.355137104,53.28068259,BCT,MKD,OTH,W,823G001752,823,,E0823018,,South Dublin,Dublin,03037,Tallaght-Millbrook
8230DB002614,2614.0,Seskin View Road,Seskin View Road,Seskin View Road,Br Rc an tSeiscinn,False,ITM,709987.0,726948.0,-6.350654306,53.28142959,BCT,MKD,OTH,W,823G001753,823,,E0823018,,South Dublin,Dublin,03037,Tallaght-Millbrook
8230DB002607,2607.0,Millbrook Lawns,Millbrook Lawns,Seskin View Road,Sruthán an Mhuilinn,False,ITM,710011.0,726970.0,-6.3502869560000015,53.28162225,BCT,MKD,OTH,E,823G001753,823,,E0823018,,South Dublin,Dublin,03037,Tallaght-Millbrook
8230DB002613,2613.0,Homelawn Road,Homelawn Road,Avonmore Road,Br Phlásóg an Bhaile,False,ITM,710171.0,727072.0,-6.347853357000001,53.28250533,BCT,MKD,OTH,SW,823G001754,823,,E0823018,,South Dublin,Dublin,03028,Tallaght-Avonbeg
8230DB002608,2608.0,Avonmore Road,Avonmore Road,Avonmore Road,Bóthar Abhainn Mhór,False,ITM,710179.0,727096.0,-6.347725124,53.28271927,BCT,MKD,OTH,NE,823G001754,823,,E0823018,,South Dublin,Dublin,03028,Tallaght-Avonbeg
8230DB002609,2609.0,Avonmore Drive,Avonmore Drive,Avonmore Road,Céide Abhainn Mhór,False,ITM,710482.0,727333.0,-6.343100956000002,53.28478528,BCT,MKD,OTH,NE,823G001755,823,,E0823018,,South Dublin,Dublin,03028,Tallaght-Avonbeg
