Stop number,Name without locality,Locality,Locality number,Code,Name,NaPTAN stop class,NaPTANId,Easting,Northing
683,Bishopswater Wexford,Wexford,E0834025,1,Bishopswater,BCT,834000235,704195,620820
683,Bishopswater Wexford,Wexford,E0834025,2,Bishopswater,BCT,834000236,704205,620845
684,Cree,Mullagh (Clare),E0836021,1,R483,BCT,836000048,503159,670591
684,Cree,Mullagh (Clare),E0836021,2,R483,BCT,836000049,503231,670591
685,Creeslough,Creeslough,E0853141,1,Main Street,BCT,853000048,606043,930443
685,Creeslough,Creeslough,E0853141,2,Main Street,BCT,853000049,606031,930434
686,Creeves Cross,County Limerick,E0841097,1,Creeves Cross,BCT,841000083,530044,646100
686,Creeves Cross,County Limerick,E0841097,2,Creeves Cross,BCT,841000084,530047,646108
687,Croadywood Cross,Old Town,E0828030,1,R433,BCT,8280PB001423,639823,683245
687,Croadywood Cross,Old Town,E0828030,2,R433,BCT,828000058,639826,683241
688,Croagh Patrick,Murrisk,E0849113,1,R335,BCT,849000162,491907,782344
690,Tesco Wexford,Wexford,E0834025,1,Upper King Street,BCT,834000237,704880,621238
690,Tesco Wexford,Wexford,E0834025,2,Upper King Street,BCT,834000238,704866,621244
691,Crossdoney,Crossdoney,E0852051,1,R199,BCT,852000004,637124,800592
691,Crossdoney,Crossdoney,E0852051,2,R199,BCT,852000005,637112,800589
692,Crosses of Annagh,Quilty,E0836065,1,Mullagh Road,BCT,836000050,504408,675487
692,Crosses of Annagh,Quilty,E0836065,2,Mullagh Road,BCT,836000051,504419,675480
692,Crosses of Annagh,Quilty,E0836065,3,Mullagh Road,BCT,836000052,504408,675487
692,Crosses of Annagh,Quilty,E0836065,4,Mullagh Road,BCT,836000053,504419,675480
692,Crosses of Annagh,Quilty,E0836065,5,Mullagh Road,BCT,836000054,504419,675480
692,Crosses of Annagh,Quilty,E0836065,6,Mullagh Road,BCT,836000055,504408,675487
693,Crosshue,Blackwater,E0834052,1,R744,BCT,834000063,711340,634497
693,Crosshue,Blackwater,E0834052,2,R744,BCT,834000045,711346,634503
693,Crosshue,Blackwater,E0834052,3,R744,BCT,834000046,711340,634497
693,Crosshue,Blackwater,E0834052,4,R744,BCT,834000047,711346,634503
694,Crosspatrick,County Kilkenny,E0827054,1,R502,BCT,827000020,626873,666946
694,Crosspatrick,County Kilkenny,E0827054,2,R502,BCT,827000021,626873,666953
695,Crosstown,County Wexford,E0834081,1,R741,BCT,834000048,705335,623661
695,Crosstown,County Wexford,E0834081,2,R741,BCT,834000049,705339,623660
696,Cruagh Road Tibradden,South Dublin,E0823032,1,Cruagh Road,BCT,825000240,713624,722763
