Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
2651,04/06/2010,"24 Chalfont, Texas Lane, Malahide",,Dublin,566550.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2696,08/06/2010,"3 Lissadel Grove, Seabury, Malahide",,Dublin,310000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2715,09/06/2010,"20 Seapark, Malahide",,Dublin,645000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2807,11/06/2010,"73 Seabury Crescent, Malahide",,Dublin,385000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
2831,14/06/2010,"3 Old Estuary Mill, Estuary Road, Malahide",,Dublin,634361.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
2882,16/06/2010,"25 Brookville Park, Malahide Road, Artane",,Dublin,386000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3152,28/06/2010,"33 The Moorings, Malahide",,Dublin,560000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3178,29/06/2010,"32 Seabury Green, Malahide",,Dublin,390000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3190,29/06/2010,"87 Malahide Marina, Malahide",,Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3254,01/07/2010,"27 The Heights, Robswall, Malahide",,Dublin,131912.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
3258,01/07/2010,"311 Malahide Marina Village, Malahide",,Dublin,230000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3268,01/07/2010,"7 Lambay Court, Malahide",,Dublin,1125000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3297,02/07/2010,"3 Fairhaven, Malahide",,Dublin,152000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3332,02/07/2010,"Arundel, Swords Road, Malahide",,Dublin,1000000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3333,02/07/2010,"Dun Na Ri, Swords Road, Malahide",,Dublin,1000000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3340,05/07/2010,"36 Brookville Park, Malahide Road, Coolock",Dublin 5,Dublin,382500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3348,05/07/2010,"7 Island View, Malahide, Co. Dublin",,Dublin,575000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3454,09/07/2010,"4 Streamstown Cottages, Malahide",,Dublin,200000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3458,09/07/2010,"46 Seabury Crescent, Malahide, Co. Dublin",,Dublin,348000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3717,23/07/2010,"11 Ard Na Mara, Malahide",,Dublin,858500.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3732,23/07/2010,"24 The Bawn Cottages, Malahide",,Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3772,26/07/2010,"1 Castle Downs Croft, Seabury, Malahide",,Dublin,380000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3811,27/07/2010,"49 Gainsborough Green, Swords Road, Malahide",,Dublin,435000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3835,28/07/2010,"3 Castle Downs Croft, Seabury, Malahide",,Dublin,420000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3854,28/07/2010,"Evenmore, Seabury Crescent, Malahide",,Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3856,29/07/2010,"130 Marina Village, Malahide",,Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3901,30/07/2010,"30  Dunree Park, Malahide Road",,Dublin,295000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
3927,30/07/2010,"7 Old Estuary Mill, Malahide",,Dublin,845000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4211,13/08/2010,"59 Galtrim Grange, Malahide",,Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4262,17/08/2010,"3 Kileen Park, Malahide",,Dublin,405000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4307,19/08/2010,"16 Seabury Dale, Malahide, County Dublin",,Dublin,330000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4337,20/08/2010,"2 Killaloe House, Clare Village, Malahide",,Dublin,123303.96,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
4342,20/08/2010,"24 Gainsborough Lawn, Malahide, Co. Dublin",,Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4400,23/08/2010,"85 Seapark, Malahide",,Dublin,610000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4416,24/08/2010,"54 Seapark, Malahide, Co. Dublin",,Dublin,585000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4515,27/08/2010,"Southern Hills, Seamount Road, Malahide",,Dublin,950000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
4598,01/09/2010,"28 Orchard Way, Greenwood Walk, Malahide Road",Dublin 13,Dublin,221490.68,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4732,08/09/2010,"21 Seabury Glen, Malahide",,Dublin,437021.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4783,10/09/2010,"2 Talbot Road, Malahide, Co Dublin",,Dublin,410000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4794,10/09/2010,"29 Milford, Malahide",,Dublin,443000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4802,10/09/2010,"39 Waterside View, Waterside, Malahide",,Dublin,281938.32,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
4853,13/09/2010,"53 Milford, Malahide, County Dublin",,Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4885,14/09/2010,"Site 7 Streamstown Wood, Malahide Road, Dublin 13",,Dublin,335000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
4986,20/09/2010,"145 Malahide Marina, Village, Malahide",,Dublin,353000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
4988,20/09/2010,"17 Heeley'S View, Malahide",,Dublin,675000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
4993,20/09/2010,"41 Waterside Drive, Swords Road, Malahide",,Dublin,233553.71,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,Malahide,Co. Dublin
5005,21/09/2010,"111 Galtrim Grange, Broomfield, Malahide",,Dublin,370044.05,Yes,New Dwelling house /Apartment,greater than 125 sq metres,Malahide,Co. Dublin
5105,24/09/2010,"36 Island View, Malahide",,Dublin,395000.0,No,Second-Hand Dwelling house /Apartment,,Malahide,Co. Dublin
