Unnamed: 0,date_of_sale,address,postal_code,county,price,vat_exclusive,property_description,property_size,town,area_code
124252,09/08/2019,"60 West End Gate, Tallaght, Dublin 24",Dublin 24,Dublin,225000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124293,12/08/2019,"19 Exchange Hall, Belgard Sq North, Tallaght Dublin 24",Dublin 24,Dublin,185000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124340,13/08/2019,"10 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124356,13/08/2019,"18 Dodderbrook Glade, Tallaght, Dublin 24",Dublin 24,Dublin,387665.19,Yes,New Dwelling house /Apartment,,Tallaght,Dublin 24
124381,13/08/2019,"64 Tuansgate, Tallaght, Dublin 24",,Dublin,218000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124461,15/08/2019,"10 Alderwood Court, Springfield, Tallaght Dublin 24",Dublin 24,Dublin,245000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124485,15/08/2019,"22 Marlfield Green, Kiltipper, Tallaght Dublin 24",Dublin 24,Dublin,190000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124505,15/08/2019,"43 Exchange Hall, Belgard Sq North, Tallaght Dublin 24",Dublin 24,Dublin,145000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124580,16/08/2019,"31Alderwood Lawn Springfield, Tallaght Dublin 24, Dublin",Dublin 24,Dublin,255000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124707,20/08/2019,"3 Heatherview Dr, Aylesbury, Tallaght Dublin 24",Dublin 24,Dublin,332000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124708,20/08/2019,"3 Horan Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124710,20/08/2019,"306 Glenview Lawns, Tallaght, Dublin 24",,Dublin,305000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124712,20/08/2019,"345 Glenview Lawns, Tallaght, Dublin 24",Dublin 24,Dublin,296500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124724,20/08/2019,"52 Virginia Hall, Belgard Sq, Tallaght Dublin 24",Dublin 24,Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124779,21/08/2019,"1 Maberry Park, Kilnamanagh, Tallaght",Dublin 24,Dublin,323000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124836,22/08/2019,"112 Old Bawn Rd, Tallaght, Dublin 24",Dublin 24,Dublin,347000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124846,22/08/2019,"16 St Mealruans Park, Tallaght, Dublin 24",Dublin 24,Dublin,255000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124861,22/08/2019,"24 New Bawn Park, Tallaght, Dublin 24",Dublin 24,Dublin,320000.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
124931,23/08/2019,"19 Redwood Court, Kilnamanagh, Tallaght Dublin 24",Dublin 24,Dublin,337500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
125069,27/08/2019,"32 Tamarisk Close, Kilnamanagh, Tallaght Dublin 24",Dublin 24,Dublin,346500.0,No,Second-Hand Dwelling house /Apartment,,Tallaght,Dublin 24
